date,municipality,nighborhood,zone,age,sex,schooling
2019-08-01 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,14.0,FEMENINO,NO REPORTADA
2019-08-01 20:00:00,BOGOTÁ D.C.,BOSQUE CALDERON E-2,URBANA,18.0,FEMENINO,SUPERIOR
2019-08-01 17:00:00,BOGOTÁ D.C.,SIERRA MORENA E-19,URBANA,15.0,FEMENINO,SECUNDARIA
2019-08-01 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,11.0,FEMENINO,NO REPORTADA
2019-08-01 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,15.0,MASCULINO,NO REPORTADA
2019-08-01 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18.0,FEMENINO,NO REPORTADA
2019-08-01 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18.0,MASCULINO,NO REPORTADA
2019-08-01 00:00:00,BOGOTÁ D.C.,PROVIVIENDA NORTE E-16,URBANA,25.0,MASCULINO,NO REPORTADA
2019-08-01 09:00:00,BOGOTÁ D.C.,NUEVO PORVENIR E-5,URBANA,13.0,FEMENINO,NO REPORTADA
2019-08-01 00:00:00,BOGOTÁ D.C.,CIUDADELA INDUSTRIAL EL DORADO E-10,URBANA,2.0,FEMENINO,NO REPORTADA
2019-08-01 00:00:00,BOGOTÁ D.C.,SAN MARTIN DE LOBA E-4,URBANA,11.0,FEMENINO,PRIMARIA
2019-08-01 11:00:00,BOGOTÁ D.C.,CENTRO FONTIBON E-9,URBANA,45.0,FEMENINO,SUPERIOR
2019-08-01 19:00:00,BOGOTÁ D.C.,VEINTE DE JULIO E-4,URBANA,13.0,FEMENINO,NO REPORTADA
2019-08-01 05:30:00,FACATATIVÁ,LLANO POPULAR,URBANA,9.0,FEMENINO,NO REPORTADA
2019-08-01 00:00:00,LA CALERA,CENTRO,URBANA,18.0,FEMENINO,NO REPORTADA
2019-08-01 00:00:00,MOSQUERA,EL PORTAL DEL CERRITO,URBANA,8.0,FEMENINO,NO REPORTADA
2019-08-01 00:00:00,SAN FRANCISCO,SAN FRANCISCO DE SALES,URBANA,8.0,FEMENINO,PRIMARIA
2019-08-01 01:30:00,VERGARA,SANTO DOMINGO,URBANA,14.0,FEMENINO,SECUNDARIA
2019-08-01 21:01:00,VILLA DE SAN DIEGO DE UBATE,SAN FRANCISCO,URBANA,44.0,FEMENINO,PRIMARIA
